[2022-11-07 22:19:49,158] 0	T_sample 19.36	T_update 10.64	ETA 16:39:37	expert_R_avg 0.5093 [0.5907,0.7335,0.3061,0.3219,0.5685,0.9838]	expert_R_range (0.1293, 0.9864)	eps_len 10.36
[2022-11-07 22:20:19,349] 1	T_sample 19.51	T_update 10.63	ETA 16:43:36	expert_R_avg 0.3562 [0.3879,0.5666,0.2577,0.2267,0.2439,0.9835]	expert_R_range (0.0800, 0.9721)	eps_len 10.52
[2022-11-07 22:20:50,367] 2	T_sample 19.92	T_update 11.04	ETA 17:10:28	expert_R_avg 0.5453 [0.5337,0.7763,0.4661,0.3883,0.6998,0.9835]	expert_R_range (0.1659, 0.9818)	eps_len 8.61
[2022-11-07 22:21:21,178] 3	T_sample 20.05	T_update 10.70	ETA 17:03:06	expert_R_avg 0.5084 [0.5900,0.7353,0.3035,0.3215,0.5708,0.9840]	expert_R_range (0.1272, 0.9852)	eps_len 10.37
[2022-11-07 22:21:52,270] 4	T_sample 20.33	T_update 10.71	ETA 17:11:56	expert_R_avg 0.3544 [0.3861,0.5691,0.2560,0.2246,0.2418,0.9837]	expert_R_range (0.0803, 0.9728)	eps_len 10.68
[2022-11-07 22:22:23,541] 5	T_sample 20.50	T_update 10.71	ETA 17:17:18	expert_R_avg 0.5383 [0.5260,0.7777,0.4545,0.3827,0.7059,0.9834]	expert_R_range (0.1687, 0.9830)	eps_len 8.82
[2022-11-07 22:22:54,713] 6	T_sample 20.42	T_update 10.70	ETA 17:13:29	expert_R_avg 0.5055 [0.5871,0.7356,0.2991,0.3204,0.5705,0.9839]	expert_R_range (0.1207, 0.9860)	eps_len 10.58
[2022-11-07 22:23:25,936] 7	T_sample 20.45	T_update 10.72	ETA 17:14:39	expert_R_avg 0.3572 [0.3894,0.5683,0.2572,0.2319,0.2463,0.9835]	expert_R_range (0.0808, 0.9733)	eps_len 10.59
[2022-11-07 22:23:57,604] 8	T_sample 20.91	T_update 10.70	ETA 17:28:55	expert_R_avg 0.5345 [0.5208,0.7811,0.4489,0.3806,0.7126,0.9832]	expert_R_range (0.1642, 0.9827)	eps_len 9.02
[2022-11-07 22:24:29,653] 9	T_sample 21.27	T_update 10.72	ETA 17:41:02	expert_R_avg 0.5018 [0.5837,0.7363,0.2932,0.3191,0.5686,0.9836]	expert_R_range (0.1199, 0.9860)	eps_len 10.76
[2022-11-07 22:25:00,694] 10	T_sample 20.29	T_update 10.69	ETA 17:07:05	expert_R_avg 0.3570 [0.3894,0.5698,0.2569,0.2294,0.2456,0.9834]	expert_R_range (0.0803, 0.9744)	eps_len 10.60
[2022-11-07 22:25:32,573] 11	T_sample 21.12	T_update 10.70	ETA 17:34:14	expert_R_avg 0.5295 [0.5123,0.7860,0.4439,0.3766,0.7216,0.9832]	expert_R_range (0.1681, 0.9821)	eps_len 9.30
[2022-11-07 22:26:04,410] 12	T_sample 21.06	T_update 10.72	ETA 17:32:22	expert_R_avg 0.4978 [0.5790,0.7375,0.2879,0.3164,0.5691,0.9834]	expert_R_range (0.1174, 0.9860)	eps_len 11.02
[2022-11-07 22:26:35,902] 13	T_sample 20.71	T_update 10.73	ETA 17:20:28	expert_R_avg 0.3572 [0.3904,0.5700,0.2562,0.2294,0.2451,0.9832]	expert_R_range (0.0803, 0.9732)	eps_len 10.63
[2022-11-07 22:27:07,414] 14	T_sample 20.73	T_update 10.72	ETA 17:20:30	expert_R_avg 0.5231 [0.5049,0.7911,0.4337,0.3712,0.7284,0.9829]	expert_R_range (0.1684, 0.9820)	eps_len 9.62
[2022-11-07 22:27:38,670] 15	T_sample 20.45	T_update 10.75	ETA 17:11:34	expert_R_avg 0.4910 [0.5728,0.7373,0.2793,0.3092,0.5621,0.9830]	expert_R_range (0.1170, 0.9860)	eps_len 11.40
[2022-11-07 22:28:10,209] 16	T_sample 20.75	T_update 10.73	ETA 17:20:22	expert_R_avg 0.3574 [0.3911,0.5699,0.2560,0.2276,0.2454,0.9830]	expert_R_range (0.0808, 0.9721)	eps_len 10.62
