[2022-11-14 23:25:58,636] 0	T_sample 17.15	T_update 4.91	ETA 12:14:56	expert_R_avg 0.3341 [0.3716,0.5172,0.2540,0.2063,0.2327,0.7706]	expert_R_range (0.0493, 0.9644)	eps_len 10.46
[2022-11-14 23:26:21,010] 1	T_sample 17.40	T_update 4.94	ETA 12:23:58	expert_R_avg 0.3356 [0.3738,0.5196,0.2548,0.2054,0.2347,0.7705]	expert_R_range (0.0477, 0.9629)	eps_len 10.50
[2022-11-14 23:26:43,498] 2	T_sample 17.51	T_update 4.94	ETA 12:27:20	expert_R_avg 0.3412 [0.3819,0.5260,0.2586,0.2074,0.2381,0.7704]	expert_R_range (0.0410, 0.9700)	eps_len 10.50
[2022-11-14 23:27:05,867] 3	T_sample 17.41	T_update 4.92	ETA 12:22:58	expert_R_avg 0.3459 [0.3896,0.5339,0.2600,0.2100,0.2407,0.7700]	expert_R_range (0.0485, 0.9668)	eps_len 10.64
[2022-11-14 23:27:28,475] 4	T_sample 17.64	T_update 4.94	ETA 12:30:35	expert_R_avg 0.3513 [0.3983,0.5417,0.2626,0.2090,0.2445,0.7689]	expert_R_range (0.0543, 0.9690)	eps_len 10.75
[2022-11-14 23:27:51,105] 5	T_sample 17.65	T_update 4.94	ETA 12:30:55	expert_R_avg 0.3597 [0.4109,0.5488,0.2687,0.2095,0.2479,0.7673]	expert_R_range (0.0490, 0.9691)	eps_len 10.76
[2022-11-14 23:28:13,775] 6	T_sample 17.68	T_update 4.96	ETA 12:31:52	expert_R_avg 0.3617 [0.4147,0.5551,0.2679,0.2118,0.2507,0.7654]	expert_R_range (0.0546, 0.9623)	eps_len 11.10
[2022-11-14 23:28:36,304] 7	T_sample 17.56	T_update 4.93	ETA 12:26:44	expert_R_avg 0.3652 [0.4224,0.5636,0.2674,0.2078,0.2524,0.7629]	expert_R_range (0.0592, 0.9637)	eps_len 11.25
[2022-11-14 23:28:58,952] 8	T_sample 17.67	T_update 4.94	ETA 12:30:22	expert_R_avg 0.3678 [0.4286,0.5669,0.2666,0.2074,0.2516,0.7599]	expert_R_range (0.0549, 0.9654)	eps_len 11.51
[2022-11-14 23:29:21,755] 9	T_sample 17.82	T_update 4.95	ETA 12:35:05	expert_R_avg 0.3714 [0.4354,0.5712,0.2664,0.2050,0.2565,0.7565]	expert_R_range (0.0601, 0.9667)	eps_len 11.69
[2022-11-14 23:29:44,819] 10	T_sample 18.06	T_update 4.95	ETA 12:43:05	expert_R_avg 0.3735 [0.4412,0.5744,0.2646,0.2049,0.2572,0.7524]	expert_R_range (0.0662, 0.9697)	eps_len 11.93
[2022-11-14 23:30:07,851] 11	T_sample 18.04	T_update 4.96	ETA 12:41:48	expert_R_avg 0.3733 [0.4438,0.5762,0.2603,0.2010,0.2586,0.7480]	expert_R_range (0.0611, 0.9669)	eps_len 12.26
[2022-11-14 23:30:30,785] 12	T_sample 17.94	T_update 4.96	ETA 12:38:15	expert_R_avg 0.3753 [0.4488,0.5770,0.2582,0.2027,0.2613,0.7436]	expert_R_range (0.0633, 0.9674)	eps_len 12.48
[2022-11-14 23:30:53,632] 13	T_sample 17.86	T_update 4.95	ETA 12:34:58	expert_R_avg 0.3728 [0.4478,0.5771,0.2530,0.1988,0.2609,0.7391]	expert_R_range (0.0576, 0.9697)	eps_len 13.00
[2022-11-14 23:31:16,814] 14	T_sample 18.09	T_update 5.05	ETA 12:45:33	expert_R_avg 0.3687 [0.4442,0.5771,0.2459,0.1984,0.2619,0.7346]	expert_R_range (0.0507, 0.9695)	eps_len 13.58
[2022-11-14 23:31:40,225] 15	T_sample 18.40	T_update 4.97	ETA 12:52:51	expert_R_avg 0.3655 [0.4421,0.5775,0.2390,0.1941,0.2656,0.7298]	expert_R_range (0.0521, 0.9648)	eps_len 14.01
[2022-11-14 23:32:03,468] 16	T_sample 18.24	T_update 4.96	ETA 12:46:51	expert_R_avg 0.3679 [0.4473,0.5789,0.2400,0.1917,0.2648,0.7246]	expert_R_range (0.0574, 0.9667)	eps_len 14.15
[2022-11-14 23:32:26,644] 17	T_sample 18.15	T_update 4.99	ETA 12:44:17	expert_R_avg 0.3633 [0.4430,0.5798,0.2316,0.1913,0.2673,0.7206]	expert_R_range (0.0528, 0.9703)	eps_len 14.76
[2022-11-14 23:32:49,420] 18	T_sample 17.79	T_update 4.94	ETA 12:30:39	expert_R_avg 0.3649 [0.4457,0.5825,0.2319,0.1910,0.2712,0.7162]	expert_R_range (0.0587, 0.9667)	eps_len 14.95
[2022-11-14 23:33:12,660] 19	T_sample 18.22	T_update 4.98	ETA 12:45:31	expert_R_avg 0.3644 [0.4456,0.5837,0.2298,0.1939,0.2741,0.7114]	expert_R_range (0.0561, 0.9653)	eps_len 15.19
[2022-11-14 23:33:35,727] 20	T_sample 18.08	T_update 4.94	ETA 12:39:17	expert_R_avg 0.3623 [0.4451,0.5846,0.2251,0.1899,0.2734,0.7071]	expert_R_range (0.0465, 0.9667)	eps_len 15.51
[2022-11-14 23:33:58,567] 21	T_sample 17.83	T_update 4.97	ETA 12:31:40	expert_R_avg 0.3653 [0.4506,0.5886,0.2268,0.1889,0.2739,0.7021]	expert_R_range (0.0608, 0.9675)	eps_len 15.63
[2022-11-14 23:34:21,621] 22	T_sample 18.05	T_update 4.96	ETA 12:38:19	expert_R_avg 0.3649 [0.4511,0.5890,0.2255,0.1871,0.2743,0.6976]	expert_R_range (0.0647, 0.9704)	eps_len 15.97
[2022-11-14 23:34:44,442] 23	T_sample 17.78	T_update 5.00	ETA 12:30:10	expert_R_avg 0.3657 [0.4540,0.5935,0.2245,0.1855,0.2744,0.6922]	expert_R_range (0.0557, 0.9663)	eps_len 16.16
[2022-11-14 23:35:07,574] 24	T_sample 18.11	T_update 4.99	ETA 12:40:08	expert_R_avg 0.3636 [0.4533,0.5941,0.2202,0.1823,0.2726,0.6892]	expert_R_range (0.0530, 0.9687)	eps_len 16.54
[2022-11-14 23:35:30,897] 25	T_sample 18.32	T_update 4.96	ETA 12:45:59	expert_R_avg 0.3664 [0.4570,0.5973,0.2233,0.1832,0.2754,0.6842]	expert_R_range (0.0523, 0.9694)	eps_len 16.56
[2022-11-14 23:35:54,240] 26	T_sample 18.31	T_update 4.99	ETA 12:46:14	expert_R_avg 0.3649 [0.4581,0.5991,0.2201,0.1818,0.2674,0.6794]	expert_R_range (0.0640, 0.9694)	eps_len 17.03
[2022-11-14 23:36:17,321] 27	T_sample 18.06	T_update 4.98	ETA 12:37:18	expert_R_avg 0.3597 [0.4522,0.5978,0.2139,0.1768,0.2680,0.6755]	expert_R_range (0.0468, 0.9679)	eps_len 17.66
[2022-11-14 23:36:40,691] 28	T_sample 18.35	T_update 4.98	ETA 12:46:23	expert_R_avg 0.3570 [0.4505,0.5983,0.2103,0.1758,0.2638,0.6696]	expert_R_range (0.0600, 0.9671)	eps_len 18.23
[2022-11-14 23:37:03,955] 29	T_sample 18.26	T_update 4.97	ETA 12:42:31	expert_R_avg 0.3556 [0.4503,0.5990,0.2086,0.1735,0.2599,0.6641]	expert_R_range (0.0507, 0.9674)	eps_len 18.53
[2022-11-14 23:37:27,653] 30	T_sample 18.67	T_update 4.98	ETA 12:56:08	expert_R_avg 0.3530 [0.4487,0.6006,0.2053,0.1703,0.2552,0.6603]	expert_R_range (0.0635, 0.9664)	eps_len 19.20
[2022-11-14 23:37:51,207] 31	T_sample 18.53	T_update 4.99	ETA 12:51:17	expert_R_avg 0.3517 [0.4498,0.6017,0.2026,0.1602,0.2527,0.6551]	expert_R_range (0.0554, 0.9700)	eps_len 19.34
[2022-11-14 23:38:14,527] 32	T_sample 18.30	T_update 4.98	ETA 12:43:11	expert_R_avg 0.3505 [0.4483,0.6008,0.2015,0.1606,0.2531,0.6513]	expert_R_range (0.0538, 0.9674)	eps_len 19.89
[2022-11-14 23:38:37,913] 33	T_sample 18.37	T_update 4.97	ETA 12:44:58	expert_R_avg 0.3472 [0.4465,0.6015,0.1973,0.1560,0.2465,0.6466]	expert_R_range (0.0556, 0.9646)	eps_len 20.25
[2022-11-14 23:39:00,887] 34	T_sample 17.99	T_update 4.95	ETA 12:31:07	expert_R_avg 0.3448 [0.4452,0.6022,0.1952,0.1522,0.2394,0.6418]	expert_R_range (0.0530, 0.9661)	eps_len 20.78
[2022-11-14 23:39:23,977] 35	T_sample 18.11	T_update 4.94	ETA 12:34:28	expert_R_avg 0.3430 [0.4445,0.6033,0.1911,0.1520,0.2402,0.6366]	expert_R_range (0.0535, 0.9646)	eps_len 21.34
[2022-11-14 23:39:47,272] 36	T_sample 18.31	T_update 4.95	ETA 12:40:51	expert_R_avg 0.3402 [0.4420,0.6033,0.1876,0.1468,0.2390,0.6331]	expert_R_range (0.0679, 0.9642)	eps_len 21.99
[2022-11-14 23:40:10,317] 37	T_sample 18.05	T_update 4.95	ETA 12:32:15	expert_R_avg 0.3399 [0.4424,0.6050,0.1885,0.1445,0.2350,0.6285]	expert_R_range (0.0541, 0.9632)	eps_len 22.23
[2022-11-14 23:40:33,640] 38	T_sample 18.29	T_update 5.00	ETA 12:40:58	expert_R_avg 0.3386 [0.4410,0.6055,0.1865,0.1437,0.2372,0.6243]	expert_R_range (0.0501, 0.9696)	eps_len 22.81
[2022-11-14 23:40:57,160] 39	T_sample 18.51	T_update 4.97	ETA 12:47:02	expert_R_avg 0.3395 [0.4445,0.6067,0.1877,0.1396,0.2303,0.6184]	expert_R_range (0.0537, 0.9655)	eps_len 22.99
[2022-11-14 23:41:20,223] 40	T_sample 18.04	T_update 4.98	ETA 12:31:27	expert_R_avg 0.3383 [0.4444,0.6074,0.1855,0.1392,0.2285,0.6135]	expert_R_range (0.0531, 0.9678)	eps_len 23.52
[2022-11-14 23:41:43,839] 41	T_sample 18.58	T_update 5.00	ETA 12:49:25	expert_R_avg 0.3369 [0.4435,0.6065,0.1837,0.1379,0.2267,0.6086]	expert_R_range (0.0536, 0.9703)	eps_len 24.16
[2022-11-14 23:42:07,145] 42	T_sample 18.28	T_update 4.99	ETA 12:38:51	expert_R_avg 0.3344 [0.4419,0.6065,0.1801,0.1326,0.2259,0.6038]	expert_R_range (0.0530, 0.9663)	eps_len 24.77
[2022-11-14 23:42:30,697] 43	T_sample 18.55	T_update 4.97	ETA 12:46:31	expert_R_avg 0.3361 [0.4450,0.6055,0.1818,0.1350,0.2239,0.5984]	expert_R_range (0.0449, 0.9645)	eps_len 24.80
[2022-11-14 23:42:54,307] 44	T_sample 18.59	T_update 4.98	ETA 12:47:55	expert_R_avg 0.3372 [0.4476,0.6094,0.1823,0.1315,0.2239,0.5943]	expert_R_range (0.0564, 0.9690)	eps_len 25.02
[2022-11-14 23:43:17,538] 45	T_sample 18.19	T_update 5.00	ETA 12:35:16	expert_R_avg 0.3350 [0.4464,0.6082,0.1798,0.1287,0.2189,0.5900]	expert_R_range (0.0569, 0.9666)	eps_len 25.73
[2022-11-14 23:43:41,016] 46	T_sample 18.46	T_update 4.98	ETA 12:42:55	expert_R_avg 0.3304 [0.4409,0.6037,0.1763,0.1252,0.2144,0.5866]	expert_R_range (0.0327, 0.9672)	eps_len 26.62
[2022-11-14 23:44:04,378] 47	T_sample 18.34	T_update 4.98	ETA 12:38:42	expert_R_avg 0.3314 [0.4432,0.6055,0.1764,0.1248,0.2168,0.5806]	expert_R_range (0.0369, 0.9622)	eps_len 27.03
[2022-11-14 23:44:27,982] 48	T_sample 18.58	T_update 4.98	ETA 12:46:13	expert_R_avg 0.3331 [0.4466,0.6043,0.1772,0.1255,0.2157,0.5756]	expert_R_range (0.0577, 0.9664)	eps_len 27.13
[2022-11-14 23:44:51,618] 49	T_sample 18.60	T_update 5.00	ETA 12:46:52	expert_R_avg 0.3292 [0.4417,0.6014,0.1726,0.1252,0.2170,0.5725]	expert_R_range (0.0337, 0.9619)	eps_len 28.07
