[2022-12-05 22:04:27,616] 0	T_sample 18.66	T_update 5.22	ETA 13:15:47	expert_R_avg 0.5275 [0.6092,0.5760,0.4220,0.3376,0.4310,0.7259]	expert_R_range (0.0860, 0.9607)	eps_len 5.85
[2022-12-05 22:04:51,935] 1	T_sample 18.99	T_update 5.30	ETA 13:28:38	expert_R_avg 0.5176 [0.5946,0.5863,0.4110,0.3236,0.4455,0.7258]	expert_R_range (0.0882, 0.9718)	eps_len 6.15
[2022-12-05 22:05:17,097] 2	T_sample 19.70	T_update 5.43	ETA 13:56:15	expert_R_avg 0.4867 [0.5523,0.6099,0.3744,0.2908,0.4739,0.7249]	expert_R_range (0.0735, 0.9664)	eps_len 7.09
[2022-12-05 22:05:42,762] 3	T_sample 20.09	T_update 5.54	ETA 14:12:34	expert_R_avg 0.4366 [0.4866,0.6392,0.3162,0.2421,0.5019,0.7234]	expert_R_range (0.0664, 0.9675)	eps_len 8.89
[2022-12-05 22:06:08,202] 4	T_sample 20.09	T_update 5.32	ETA 14:04:42	expert_R_avg 0.3899 [0.4279,0.6589,0.2622,0.2020,0.5108,0.7216]	expert_R_range (0.0630, 0.9668)	eps_len 11.22
[2022-12-05 22:06:34,164] 5	T_sample 20.47	T_update 5.45	ETA 14:21:33	expert_R_avg 0.3536 [0.3845,0.6740,0.2177,0.1684,0.5164,0.7197]	expert_R_range (0.0607, 0.9669)	eps_len 14.11
[2022-12-05 22:07:00,369] 6	T_sample 20.56	T_update 5.61	ETA 14:29:09	expert_R_avg 0.3245 [0.3486,0.6834,0.1841,0.1430,0.5191,0.7177]	expert_R_range (0.0502, 0.9621)	eps_len 17.47
[2022-12-05 22:07:26,619] 7	T_sample 20.69	T_update 5.53	ETA 14:30:16	expert_R_avg 0.3051 [0.3280,0.6882,0.1585,0.1275,0.5139,0.7156]	expert_R_range (0.0590, 0.9643)	eps_len 20.64
[2022-12-05 22:07:53,413] 8	T_sample 21.23	T_update 5.53	ETA 14:47:51	expert_R_avg 0.2967 [0.3190,0.6901,0.1488,0.1188,0.5091,0.7137]	expert_R_range (0.0586, 0.9648)	eps_len 23.04
[2022-12-05 22:08:19,462] 9	T_sample 20.50	T_update 5.51	ETA 14:22:33	expert_R_avg 0.2891 [0.3120,0.6914,0.1377,0.1109,0.5067,0.7120]	expert_R_range (0.0627, 0.9638)	eps_len 25.42
[2022-12-05 22:08:45,867] 10	T_sample 20.76	T_update 5.55	ETA 14:32:25	expert_R_avg 0.2876 [0.3109,0.6933,0.1354,0.1065,0.5067,0.7100]	expert_R_range (0.0663, 0.9699)	eps_len 27.12
